Name,Python,SQL,Azure,Machine_Learning,Docker,Kubernetes,PowerBI,Excel,Java,JavaScript,Git,REST_API,Scrum,Linux,Terraform,Spark,TensorFlow,Data_Analysis,CI_CD,Cloud_Architecture,Azure_DevOps,Microsoft_Fabric,Copilot_Studio,Power_Automate,Power_Apps,Microsoft_365,Azure_AI_Services,Dynamics_365,Azure_Data_Factory,Bicep_ARM,Hired
Rita,1,4,0,4,2,3,0,0,3,3,3,0,3,3,0,0,2,4,1,0,1,2,4,4,4,2,3,4,4,2,0
Sam,3,4,4,3,0,0,4,1,3,3,1,3,2,3,3,3,0,2,3,2,2,2,1,3,0,0,0,0,3,0,1
Tina,2,1,4,0,4,4,4,2,0,3,2,3,0,2,4,2,2,0,4,4,1,1,3,1,0,2,4,2,0,2,1
Ulrich,4,1,3,4,4,4,4,0,4,2,0,1,2,2,2,2,0,1,1,4,3,0,1,0,0,4,1,3,3,3,1
Vika,2,1,2,2,2,4,4,0,0,1,1,4,0,0,2,3,3,3,4,3,3,2,1,4,0,2,3,0,2,4,1
Werner,3,4,2,0,1,3,4,0,0,1,2,1,1,2,2,2,0,0,3,3,1,1,3,4,1,4,4,2,0,3,1
Xin,0,3,0,3,0,2,4,3,4,3,3,2,0,3,0,2,1,4,3,2,0,3,0,1,3,4,3,4,0,3,0
Lena,2,2,1,2,1,0,4,0,4,4,1,2,2,1,1,0,1,2,1,1,4,1,0,1,3,3,4,4,3,4,0
Marc,4,2,2,1,3,0,3,3,2,2,4,0,2,4,0,2,3,3,0,0,2,2,0,0,4,4,4,3,3,4,1
Nina,4,0,3,4,1,2,4,3,4,1,0,3,0,2,0,4,1,0,1,3,3,4,4,4,1,2,2,2,3,3,1
Otto,2,4,0,2,0,2,0,4,3,2,2,4,1,2,0,4,1,2,2,3,1,4,0,2,4,3,2,1,4,0,0
Petra,3,4,2,0,2,2,1,1,2,3,1,1,1,1,0,2,0,4,4,4,0,2,4,1,4,3,1,1,1,4,1
Ralf,1,3,0,3,2,1,3,4,2,3,1,4,1,2,3,1,2,4,3,3,2,3,4,4,3,1,1,4,1,2,0
Silke,0,3,2,4,0,4,0,2,0,1,2,3,4,1,3,0,1,3,2,0,3,0,3,4,2,1,3,0,2,1,1
Tobias,0,2,0,2,1,1,0,2,3,1,3,3,4,0,0,0,2,1,1,4,4,4,3,0,2,1,2,0,0,1,0
Ursula,3,4,3,0,0,3,4,4,0,4,4,1,1,2,3,0,4,2,1,4,3,1,0,4,2,0,4,4,4,4,1
Viktor,4,0,3,3,0,3,2,2,0,2,0,2,1,0,4,2,1,0,2,4,2,1,3,3,1,1,0,3,0,2,1
Wendy,1,0,1,0,2,2,4,3,4,3,2,0,1,2,2,0,2,2,0,2,3,3,3,3,2,1,3,3,2,4,0
Axel,2,0,3,0,3,4,1,4,2,2,0,0,2,2,2,3,4,3,1,3,2,3,0,2,4,3,2,0,0,3,1
Bettina,2,4,1,0,1,4,3,0,1,0,1,2,2,3,4,0,4,1,3,2,2,3,0,4,1,4,2,3,2,2,0
Christoph,1,0,0,1,3,4,3,4,0,2,2,3,1,4,2,3,1,0,1,0,3,1,3,0,2,2,0,4,4,2,0
Dana,2,1,1,2,4,1,0,1,1,1,3,0,2,4,4,2,3,4,1,4,0,0,2,3,3,4,3,3,4,0,0
Erika,1,2,0,3,3,4,2,1,4,4,1,1,3,4,0,0,4,1,2,1,1,2,1,2,4,2,0,2,1,4,0
Franz,2,1,2,4,4,0,4,1,4,4,1,1,4,4,2,4,0,0,0,0,4,2,1,4,3,4,0,3,4,2,1
Gudrun,2,3,1,3,2,3,0,0,1,3,3,3,3,1,2,4,1,2,2,2,3,1,2,4,4,0,2,1,3,0,0
Heinz,2,3,1,1,0,0,2,3,4,3,1,1,2,4,2,1,1,3,4,3,3,2,3,0,0,3,4,3,1,1,0
Irene,4,2,0,0,2,3,4,3,2,4,0,0,3,1,2,2,3,2,0,3,0,4,4,1,2,4,2,0,3,4,0
Jürgen,3,4,2,4,4,0,1,0,3,2,2,4,2,1,1,4,4,3,4,0,0,0,1,2,3,4,3,1,4,4,1
Klara,1,2,4,2,1,3,4,2,4,2,4,4,4,3,4,2,3,0,2,2,0,3,4,2,0,4,3,2,4,4,1
Lukas,1,0,4,3,1,4,4,3,1,1,0,4,0,1,0,3,2,3,1,3,1,3,4,4,3,0,1,4,1,4,1
Monika,2,3,4,3,2,1,3,4,2,4,2,2,4,3,1,1,2,4,2,1,2,2,1,3,2,3,2,4,2,2,1
Norbert,0,4,4,3,3,2,1,2,0,2,0,2,3,2,3,1,1,4,2,4,2,1,0,4,4,1,1,0,4,1,1
Petra,1,0,0,3,2,3,0,1,0,4,1,3,3,3,1,2,2,2,0,0,4,1,4,0,1,3,1,0,3,3,0
Rainer,1,2,0,0,2,4,4,0,2,2,3,4,4,3,1,4,3,2,1,0,2,1,3,2,1,0,2,2,4,1,0
Sandra,1,4,3,3,4,2,0,3,0,1,1,3,2,1,0,2,3,1,3,2,2,2,4,4,0,2,2,1,0,0,1
Thomas,3,2,1,3,4,2,0,2,2,4,1,1,1,3,1,3,4,2,3,4,3,4,1,1,4,0,4,3,4,2,0
Uschi,0,4,0,0,4,4,1,4,4,1,1,2,4,3,0,1,4,3,0,4,3,0,3,1,4,3,3,4,0,4,0
Valentin,3,2,0,3,2,0,1,4,0,0,3,2,0,4,0,0,3,0,2,3,1,1,3,2,3,3,3,3,0,4,0
Willi,1,2,0,1,4,3,4,1,1,0,0,2,3,4,3,4,3,1,1,3,2,1,2,1,0,0,3,4,0,1,0
Xaver,1,0,0,4,0,3,4,0,1,0,3,3,1,4,1,0,1,4,2,1,4,2,4,4,2,1,2,1,4,1,0
Yvonne,3,2,2,0,4,4,1,3,4,3,0,2,3,4,2,3,3,1,2,3,1,4,3,1,1,2,1,3,0,4,1
Zeno,3,3,4,4,1,3,1,2,1,2,0,3,2,0,4,1,0,2,3,4,4,0,0,1,4,4,1,3,1,2,1
Adil,2,0,1,1,0,3,1,4,1,3,1,4,2,2,3,3,4,2,2,2,2,4,3,3,0,3,2,1,2,2,0
Bianca,3,0,4,1,1,0,2,4,4,4,3,2,1,1,2,1,3,4,1,3,4,2,2,3,3,3,1,2,1,1,1
Cedric,4,3,1,4,0,4,0,0,0,0,3,1,1,0,1,0,1,4,3,2,0,4,4,3,3,0,0,4,4,3,0
Daria,0,0,4,2,4,2,0,4,3,1,0,0,4,1,1,1,4,4,2,2,2,3,0,2,3,3,4,1,1,2,1
Enrico,0,0,0,3,3,3,4,3,0,0,1,0,3,3,2,4,0,4,0,1,1,4,3,2,0,0,2,4,4,0,0
Fatima,1,2,0,1,4,1,3,0,2,1,4,1,4,3,4,2,3,1,0,4,2,0,0,3,1,0,2,4,4,4,0
Giorgio,3,2,0,2,3,3,1,2,4,3,3,1,4,3,0,4,2,1,0,0,2,1,3,1,3,2,2,0,0,0,0
Hana,2,3,2,2,0,1,0,1,3,3,4,4,4,3,0,0,0,2,4,0,4,4,2,3,0,2,3,3,0,4,1
Ibrahim,1,4,4,1,3,1,1,2,2,2,3,1,0,1,3,2,3,2,3,0,2,2,1,3,4,4,1,3,0,1,1
Jasmin,2,0,3,2,4,3,2,3,2,3,4,1,2,2,4,1,3,2,1,3,2,2,3,4,1,2,3,2,3,2,1
Kemal,0,4,1,4,4,1,4,0,3,1,3,2,0,3,3,1,2,1,2,1,3,3,0,3,4,3,4,3,4,4,0
Laila,3,4,0,2,4,4,0,0,1,2,1,4,0,4,3,2,3,0,0,0,2,1,4,4,4,4,4,1,3,2,0
Mehmet,3,3,4,4,1,2,0,3,0,2,3,0,0,1,2,2,2,3,1,4,3,2,3,0,3,3,2,0,2,0,1
Nadia,0,0,2,0,1,1,4,1,4,1,2,4,3,3,1,3,1,1,3,3,0,4,1,3,4,3,3,0,1,1,1
Omar,2,0,4,0,4,1,2,2,1,3,0,2,3,4,2,4,3,4,3,4,0,2,2,3,4,1,2,4,4,0,1
Priya,1,2,0,1,2,0,1,2,1,4,3,3,4,1,4,3,3,1,3,4,1,4,1,3,2,1,1,2,3,4,0
Reza,0,2,0,3,1,1,3,4,4,3,3,3,3,3,3,1,0,4,0,1,2,0,2,1,4,2,1,3,4,3,0
Sadia,4,4,0,4,0,2,4,2,4,0,3,4,1,3,0,1,2,0,3,2,2,0,3,0,1,1,4,2,4,3,0
Tarek,1,4,1,1,1,0,4,2,4,2,4,4,1,2,2,2,4,2,4,0,1,3,0,2,1,1,1,1,2,1,0
Uma,3,3,1,4,2,3,3,3,0,0,3,4,2,2,3,3,2,4,0,0,3,2,0,4,3,1,3,1,3,2,0
Vikram,2,2,2,4,4,1,4,3,2,0,0,0,3,0,0,1,3,3,0,3,1,1,2,1,2,0,2,2,0,2,1
Wafa,1,0,3,2,1,3,0,0,0,1,3,0,1,4,1,4,3,0,0,2,0,3,1,3,0,1,3,0,0,0,1
Xiao,2,2,2,1,3,1,1,0,4,4,0,4,1,3,2,1,1,3,4,3,1,0,0,1,0,4,3,2,3,2,1
Yusuf,1,1,2,0,1,4,4,4,4,2,0,2,1,4,4,4,1,3,2,0,1,3,3,0,1,3,4,0,4,0,1
Zara,2,2,1,3,4,3,2,4,1,3,0,0,4,0,0,2,1,0,0,3,4,2,4,3,3,3,0,4,4,4,0
Aleksei,1,2,0,2,0,4,1,1,4,2,3,4,0,2,3,1,0,1,0,3,0,3,4,4,0,2,1,0,0,1,0
Bogdan,0,1,3,2,4,4,2,1,2,1,2,0,0,2,3,2,4,0,2,4,0,3,3,4,2,0,3,4,1,2,1
Csaba,1,2,0,4,0,1,4,0,0,0,1,0,3,2,3,1,1,0,4,3,1,2,1,3,2,2,0,4,2,0,0
Dragana,4,0,1,1,4,0,3,0,3,2,2,2,0,4,3,0,2,1,2,4,2,4,1,3,2,4,3,1,4,1,0
Eszter,1,0,3,0,1,4,2,0,2,0,3,2,0,1,4,1,3,3,0,1,2,0,0,1,4,3,2,3,0,4,1
Florin,0,4,1,3,0,4,4,0,3,1,1,2,2,2,3,2,2,3,2,1,0,1,1,4,0,1,0,1,3,3,0
Galina,2,3,0,4,2,1,3,2,3,2,0,0,1,2,4,0,1,2,1,0,1,2,3,4,0,2,2,1,0,3,0
Horia,3,4,4,1,0,3,0,1,0,0,0,1,1,1,3,2,0,4,4,2,0,0,0,1,3,1,0,2,0,0,1
Ioana,3,0,1,4,3,3,3,0,3,3,1,2,1,1,2,2,3,1,0,4,4,4,1,2,3,3,4,3,0,0,0
Jovan,2,3,1,3,1,4,1,4,0,3,2,3,4,3,2,4,4,2,3,2,1,0,2,4,1,0,2,0,3,4,0
Kristina,2,4,1,1,0,1,1,2,4,0,1,4,3,2,1,1,1,4,2,2,4,0,2,4,4,1,4,1,3,4,0
Luca,2,1,3,0,0,0,1,4,1,0,4,3,0,2,4,1,1,2,1,2,0,0,1,4,1,0,4,2,0,2,1
Mirela,3,4,0,2,2,2,1,1,3,3,2,1,4,4,2,1,4,1,3,2,2,1,1,0,4,3,4,0,1,4,0
Nikos,2,4,1,4,0,3,1,2,0,1,2,2,1,0,2,3,0,2,1,1,0,2,2,0,0,0,3,3,3,1,0
Oana,3,3,3,2,4,3,0,3,4,1,1,3,0,0,2,0,2,2,0,0,2,1,3,1,0,4,0,2,4,4,1
Piotr,3,0,3,1,4,3,1,0,0,2,1,1,3,4,4,2,2,2,1,0,0,3,4,4,3,1,0,2,0,3,1
Renata,0,2,4,3,1,0,0,1,1,2,0,3,0,2,3,3,3,2,0,4,3,1,2,3,2,1,3,0,2,3,1
Sven,3,2,1,2,4,0,1,0,0,2,4,3,4,1,4,0,3,4,3,4,3,4,1,3,2,0,3,0,4,4,0
Tatiana,4,4,4,1,0,3,1,1,1,1,1,0,3,0,3,1,1,4,2,2,0,0,3,4,3,4,2,2,4,3,1
Ulrika,0,4,4,4,3,0,3,1,1,4,4,4,0,0,4,0,2,4,2,3,2,3,3,4,4,3,0,1,2,3,1
Valentina,1,4,4,3,0,3,2,1,0,3,2,2,0,2,2,2,2,3,0,1,1,2,3,2,2,3,4,0,1,3,1
Witold,1,3,3,4,2,0,4,1,0,2,4,3,1,4,4,0,1,1,1,0,1,0,3,0,2,1,2,2,3,4,1
Xiomara,3,0,0,1,2,3,4,3,1,3,4,4,2,2,1,2,0,2,0,3,0,1,4,1,1,1,1,2,3,4,0
Yannick,0,0,3,1,1,4,0,1,2,4,2,2,3,3,2,3,2,1,3,2,4,4,3,4,0,0,4,2,4,4,1
Zofia,4,2,2,0,3,0,2,2,2,2,2,2,1,1,4,1,0,4,3,2,1,0,3,2,2,3,3,3,0,4,1
Aiko,4,1,2,1,4,3,2,4,2,1,4,1,2,0,3,1,2,4,1,2,0,1,2,1,2,3,2,2,2,4,1
Bowen,2,3,0,3,0,4,4,4,0,3,1,4,0,3,4,2,3,0,1,1,1,2,3,4,3,1,2,1,0,3,0
Cheng,2,1,2,0,0,3,2,1,1,4,1,3,0,1,4,3,3,3,3,3,3,0,0,4,1,2,0,2,4,1,1
Daisuke,0,0,1,1,2,2,1,0,3,4,4,2,1,0,0,2,2,3,4,4,4,2,3,1,2,3,2,1,1,3,0
Emi,0,1,1,1,1,0,4,4,1,0,2,0,3,2,4,4,0,4,0,0,0,0,0,3,3,3,0,4,2,3,0
Fumiko,1,1,0,2,3,0,4,2,4,4,1,3,0,4,4,0,2,0,0,3,1,4,1,2,4,1,2,3,2,1,0
Guangwei,0,4,3,1,3,2,1,0,0,0,0,4,3,1,0,4,0,0,2,1,3,2,2,3,0,0,1,0,2,2,1
Hiroshi,2,3,0,0,0,0,1,1,2,2,3,4,2,0,2,2,1,0,3,3,3,2,3,3,3,1,0,1,0,1,0
Ingrid,0,3,4,3,4,3,1,4,3,2,4,0,1,3,3,0,3,3,0,0,2,2,0,4,4,4,1,2,4,4,1
Jing,4,0,3,1,3,2,3,1,4,4,0,0,1,4,3,3,1,0,3,2,1,2,2,0,4,1,4,3,3,1,1
Kofi,0,3,3,4,3,0,3,3,2,0,3,0,0,3,3,0,4,4,0,0,4,4,2,4,4,1,3,2,2,0,1
Linh,1,3,2,4,4,4,3,2,3,0,0,1,0,2,2,2,4,4,2,0,0,1,3,1,3,0,2,4,1,1,1
Makoto,0,3,1,3,1,2,0,3,0,4,0,3,3,4,4,1,3,0,4,0,4,3,4,3,4,1,4,1,1,0,0
Ngo,3,4,4,2,4,3,3,4,1,2,3,2,2,3,1,1,3,4,4,2,4,2,4,1,1,1,4,2,2,1,1
Pham,1,4,4,2,0,2,4,3,4,4,3,4,2,3,0,4,0,0,3,1,0,0,1,2,1,2,2,1,0,2,1
Rashida,1,4,0,2,3,0,4,4,1,4,3,1,4,2,0,3,3,3,2,4,0,0,2,1,4,3,1,2,4,4,0
Sipho,4,1,1,2,3,1,0,1,1,4,0,3,0,3,2,4,2,1,1,4,2,0,2,3,1,0,1,2,4,0,0
Thabo,4,2,3,4,4,2,0,2,4,1,1,4,0,4,1,3,4,4,3,0,2,1,1,2,2,2,2,1,4,4,1
Uchenna,3,4,0,0,2,3,1,4,4,1,0,2,3,0,3,2,4,2,0,4,2,4,4,3,3,0,2,1,2,4,0
Vuyani,0,0,1,4,4,0,0,1,1,3,0,1,4,3,0,1,0,3,2,0,0,0,0,1,2,4,0,4,1,2,0
Wanjiku,3,3,3,3,3,2,0,3,0,4,0,4,0,4,0,0,2,4,0,2,2,4,0,2,3,3,3,0,3,1,1
Xiulan,4,1,1,3,4,2,1,2,2,0,4,4,1,0,0,0,4,4,3,4,4,0,2,1,2,1,3,4,1,1,0
Yerlan,1,1,4,2,1,0,1,4,0,4,3,4,0,2,0,2,0,1,4,3,2,2,1,1,0,2,4,0,1,2,1
Zimasa,3,3,2,4,2,4,1,4,4,2,2,3,1,0,2,1,1,3,2,2,1,2,3,3,3,2,2,3,4,0,1
Abebe,1,4,0,2,1,4,1,2,0,0,0,4,0,4,4,3,4,1,0,4,2,4,4,3,1,2,3,1,4,2,0
Anna_2,1,3,4,4,0,3,2,4,0,1,4,1,4,1,3,1,1,4,4,1,3,2,0,1,3,1,0,2,2,1,1
Ben_2,0,1,4,2,3,3,3,0,0,2,0,4,2,2,4,4,4,1,3,3,2,4,0,4,2,3,1,4,3,2,1
Clara_2,2,3,3,4,0,4,1,3,1,1,0,4,2,1,1,1,1,2,4,0,1,3,2,0,3,3,3,1,4,1,1
David_2,3,0,1,0,1,4,4,1,1,4,0,4,1,0,1,2,1,4,3,4,4,0,2,0,1,3,4,3,3,1,0
Elena_2,1,3,4,1,4,1,4,4,2,1,2,3,4,4,0,1,3,3,1,0,0,1,4,4,3,1,4,0,1,3,1
Felix_2,4,4,0,4,4,0,0,3,1,4,4,0,3,4,3,2,0,4,3,1,3,3,2,4,4,0,3,1,2,3,0
Greta_2,1,0,2,4,4,3,2,1,0,0,4,4,0,4,0,3,1,2,3,2,0,1,3,4,2,2,4,3,4,2,1
Hans_2,4,2,3,1,3,4,4,3,1,2,4,4,3,2,2,4,2,3,1,0,1,3,1,0,1,4,3,2,4,4,1
Ines_2,0,1,3,0,0,1,3,4,3,0,0,2,1,2,0,4,0,3,3,4,4,2,4,0,1,3,3,0,1,4,1
Jonas_2,2,1,0,4,4,4,1,4,1,0,2,1,0,1,0,2,3,2,3,3,4,1,4,0,0,0,4,2,4,4,0
Katja_2,2,2,2,1,4,1,3,3,4,0,2,1,3,4,0,4,0,4,2,2,0,4,2,4,4,2,3,3,4,3,1
Leon_2,1,2,3,3,4,0,3,0,2,0,3,1,1,2,3,2,4,4,0,2,1,2,0,3,2,0,4,1,3,2,1
Maria_2,2,1,4,2,1,1,3,1,1,1,2,1,1,1,1,4,2,1,0,0,0,3,4,0,4,0,3,2,4,2,1
Noah_2,3,4,2,3,1,4,2,3,1,4,1,0,4,3,3,4,0,4,2,3,1,3,0,4,3,2,0,0,1,3,1
Olivia_2,4,0,2,2,4,2,1,4,2,1,2,3,4,2,2,1,3,3,1,3,2,2,3,2,3,1,4,1,4,1,1
Paul_2,0,2,1,4,3,3,1,1,1,3,0,1,3,3,1,4,4,2,3,2,2,4,4,0,3,0,1,0,1,2,0
Quinn_2,3,0,3,2,2,2,2,4,4,2,2,0,3,0,2,4,1,4,4,4,1,2,2,2,4,3,3,0,3,4,1
Rosa_2,2,3,1,1,2,3,4,4,3,0,0,1,2,1,2,2,2,2,4,3,2,3,2,4,4,3,3,1,1,0,0
Stefan_2,1,1,2,0,1,1,3,0,0,0,3,4,0,0,3,4,0,0,2,4,1,0,3,2,1,1,2,3,1,1,1
Tanja_2,4,1,0,0,2,2,3,3,4,2,4,3,1,4,1,4,4,3,4,3,4,4,2,2,3,4,1,0,3,2,0
Uwe_2,2,3,2,1,2,0,0,4,1,2,2,3,4,0,3,3,2,0,3,2,4,1,0,4,2,1,3,4,3,3,1
Vera_2,1,1,3,3,1,2,0,3,1,4,4,2,2,4,2,3,1,0,1,1,2,0,3,4,3,2,4,3,1,2,1
Walter_2,0,1,0,4,0,1,0,2,2,1,3,0,1,0,1,0,3,1,2,3,2,3,2,3,0,2,0,1,0,2,0
Xena_2,3,0,4,3,1,1,2,3,0,0,1,3,3,1,0,1,3,0,4,1,3,3,2,2,1,0,4,4,0,2,1
Yara_2,3,2,1,2,0,1,0,1,3,2,0,1,2,4,0,3,1,0,0,4,3,4,1,2,0,1,1,3,0,4,0
Zach_2,2,0,0,2,1,4,0,1,3,1,2,4,2,3,1,0,3,2,1,2,0,3,3,4,2,4,3,1,4,1,0
Anja_2,4,2,2,3,2,4,4,1,0,4,1,3,2,2,4,2,3,0,4,3,1,0,4,2,4,1,2,0,4,3,1
Bruno_2,1,4,3,4,1,4,2,2,3,2,0,0,4,0,0,1,1,0,1,0,3,1,0,0,4,3,3,4,4,4,1
Carla_2,2,0,2,1,4,0,0,1,3,0,3,0,2,4,3,2,0,4,2,4,0,0,2,0,1,4,0,0,1,4,1
Dirk_2,3,1,1,4,1,4,1,4,4,3,0,4,2,3,3,0,1,1,4,3,4,2,1,4,4,3,2,2,4,2,0
Emma_2,2,3,3,2,4,1,4,4,1,3,4,2,2,3,3,3,0,0,2,4,0,4,1,2,0,2,1,1,2,0,1
Finn_2,2,4,4,4,4,4,1,0,0,3,2,1,1,2,2,4,1,1,2,2,0,4,3,4,1,0,2,3,1,3,1
Gina_2,4,0,4,2,0,4,3,0,0,2,2,3,3,0,1,4,0,3,0,2,4,0,2,4,4,1,2,4,1,1,1
Horst_2,0,3,3,4,4,4,0,1,3,2,3,1,1,2,0,3,4,0,4,3,2,0,3,4,3,1,1,3,4,1,1
Ida_2,3,3,4,1,4,4,4,1,1,0,2,3,2,4,0,0,3,3,2,2,1,2,2,4,0,2,1,2,4,3,1
Jan_2,4,1,3,0,1,1,2,1,0,0,0,1,4,1,2,0,2,0,2,3,3,0,2,1,4,1,1,4,4,2,1
Kira_2,4,3,4,1,0,3,4,4,0,2,1,0,2,1,4,2,0,3,0,0,3,2,2,0,0,2,3,1,3,4,1
Lars_2,0,2,3,4,4,0,1,1,4,3,4,0,0,1,4,2,2,3,3,1,0,2,2,2,2,1,4,2,0,2,1
Mia_2,3,0,4,2,1,1,2,3,1,0,3,4,4,1,3,1,4,1,3,2,4,2,3,4,1,1,1,4,4,1,1
Nico_2,1,2,4,1,3,1,4,1,2,0,4,4,0,1,2,1,0,2,3,3,2,3,2,1,1,0,1,1,0,4,1
Olga_2,4,2,4,4,4,1,4,1,1,0,2,0,3,1,4,4,3,2,1,3,3,3,1,1,1,1,0,3,0,2,1
Peter_2,3,1,1,1,0,1,3,4,3,2,3,1,3,3,0,4,3,2,3,4,4,4,4,4,0,4,0,3,3,0,0
